name,url,logo,categories,creation date,region,street,zip_code,city,address,lat,lon
CashForce,http://www.discover-edge.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/CashForce_squared.png,Legal & FinTech,2013.0,Flanders,Atealaan(HRT) 34A,2200,Herentals,Atealaan(HRT) 34A 2200 Herentals,,
Clever,http://clever.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Clever_squared.png,Chatbots & Assistants,2016.0,Flanders,Kortrijksesteenweg 387,8530,Harelbeke,Kortrijksesteenweg 387 8530 Harelbeke,50.84066,3.288984
CluePoints,http://cluepoints.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/CluePoints_squared.png,Healthcare & biotech,2012.0,Wallonia,Avenue Albert Einstein 2A,1348,Ottignies-Louvain-la-Neuve,Avenue Albert Einstein 2A 1348 Ottignies-Louvain-la-Neuve,50.6657528,4.6273209
Complidata,http://complidata.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Complidata_squared.png,Legal & FinTech,2018.0,Flanders,Philipssite 5 / 1,3001,Leuven,Philipssite 5 / 1 3001 Leuven,50.8673224,4.7100639
Conundra,http://www.conundra.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Conundra_squared.png,"Automotive, mobility & travel",2013.0,Flanders,Voordries 41,9860,Oosterzele,Voordries 41 9860 Oosterzele,50.9512527,3.8068771
CooperLink,http://www.cooperlink.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/cooperlink_logo_simple-300x79-1_squared.png,Services,2017.0,Wallonia,Rue Van Opré(JB) 95,5100,Namur,Rue Van Opré(JB) 95 5100 Namur,50.4584664,4.8729035
Cropland,http://www.cropland.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Cropland_squared.png,Sales & Marketing,2013.0,Flanders,Molenbergstraat 10 / 25,2000,Antwerpen,Molenbergstraat 10 / 25 2000 Antwerpen,51.220353,4.4154416
Cytomine,http://www.cytomine.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Cytomine_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2017.0,Wallonia,Quai Banning 6,4000,Liège,Quai Banning 6 4000 Liège,50.6142395,5.575796
Datacamp,http://www.datamind.org/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Datacamp_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2013.0,Flanders,Martelarenlaan 38,3010,Leuven,Martelarenlaan 38 3010 Leuven,50.88009,4.7185622
Datascouts,https://datascouts.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Datascouts_squared.png,"RPA, Internal Data & Intelligence",2011.0,Flanders,Sint-Amandsstraat 86,1853,Grimbergen,Sint-Amandsstraat 86 1853 Grimbergen,50.9079553,4.3587646
Diabatix,http://diabatix.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Diabatix_squared.png,Industrial,2016.0,Flanders,Technologielaan,3001,Leuven,Technologielaan 3001 Leuven,50.8534867,4.7276536
Digital Orthopaedics,http://www.digital-orthopaedics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Digital-Orthopaedics_squared.png,Healthcare & biotech,2016.0,Wallonia,Grafenberger Allee 297,40237,Dusseldorf,Grafenberger Allee 297 40237 Dusseldorf,51.2366523,6.821585
DNAlytics,http://dnalytics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/DNAlytics_squared.png,Healthcare & biotech,2012.0,Wallonia,Avenue Jean Monnet 1,1348,Ottignies-Louvain-la-Neuve,Avenue Jean Monnet 1 1348 Ottignies-Louvain-la-Neuve,50.6789264,4.6244546
Doccle,http://doccle.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Doccle_squared.png,"RPA, Internal Data & Intelligence",2012.0,Brussels,Esplanade SN / 65,1020,Bruxelles,Esplanade SN / 65 1020 Bruxelles,,
Dropon,http://dropon.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Dropon_squared.png,"Automotive, mobility & travel",2018.0,Flanders,Oktrooiplein 1/201,9000,Gent,Oktrooiplein 1/201 9000 Gent,51.057535,3.7396435
Edebex,http://edebex.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Edebex_squared.png,Legal & FinTech,2013.0,Brussels,Rue Jules Cockx 8-10,1160,Auderghem,Rue Jules Cockx 8-10 1160 Auderghem,50.8153037,4.4082886
EisphorIA,http://www.eisphoria.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/EisphorIA_squared.png,Legal & FinTech,2019.0,Brussels,Chaussée de Huy 195,1325,Chaumont-Gistoux,Chaussée de Huy 195 1325 Chaumont-Gistoux,50.6866163,4.6928449
Enervalis,http://www.enervalis.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Enervalis_squared.png,"Agritech, Cleantech & energy",2013.0,Flanders,Lummense Kiezel 51,3510,Hasselt,Lummense Kiezel 51 3510 Hasselt,50.9530026,5.2423762
Engine27,http://www.engine27.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Engine27_squared.png,"Security, Cyber-Security",2016.0,Flanders,Uitbreidingstraat 84 / 3,2600,Antwerpen,Uitbreidingstraat 84 / 3 2600 Antwerpen,51.1968365,4.4296125
EngineerX,http://www.engineerx.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/EngineerX_squared.png,HR & Skills,2011.0,Flanders,Belgicastraat 5 / 2,1930,Zaventem,Belgicastraat 5 / 2 1930 Zaventem,50.8788628,4.4569117
Epcon,http://www.epcon.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Epcon_squared.png,Healthcare & biotech,2018.0,Flanders,Schillerstraat 24,2050,Antwerpen,Schillerstraat 24 2050 Antwerpen,51.2323124,4.3885166
epic blue,http://www.epic.blue/,https://community.ai4belgium.be/ai-landscape//landscape_logos/epic-blue_squared.png,Industrial,2016.0,Flanders,Brusselsestraat 190,3000,Leuven,Brusselsestraat 190 3000 Leuven,50.8811989,4.6910625
Epilog,http://www.epilog.care/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Epilog_squared.png,Healthcare & biotech,2016.0,Flanders,Warande 72,9270,Laarne,Warande 72 9270 Laarne,51.0240912,3.8507162
eRowz,http://www.site-annonce.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/eRowz_squared.png,Sales & Marketing,2011.0,Wallonia,Rue Jean Burgers 2,7850,Enghien,Rue Jean Burgers 2 7850 Enghien,50.6836077,4.0269751
Ethernetics,http://ethernetics.tech/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Ethernetics_squared.png,"Agritech, Cleantech & energy",2018.0,Flanders,Steenweg 56,9570,Lierde,Steenweg 56 9570 Lierde,50.8164095,3.8310116
EyeSee,http://www.eyesee.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/EyeSee_squared.png,Image & video processing,2012.0,Flanders,Franklin Rooseveltlaan 349/B.71,9000,Gent,Franklin Rooseveltlaan 349/B.71 9000 Gent,,
Factry,http://www.factry.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Factry_squared.png,Industrial,2016.0,Brussels,Korianderstraat 2 / G,9000,Gent,Korianderstraat 2 / G 9000 Gent,51.0488118,3.7276349
Features Analytics,http://www.features-analytics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Features-Analytics_squared.png,Legal & FinTech,2014.0,Wallonia,Rue de Charleroi 2,1400,Nivelles,Rue de Charleroi 2 1400 Nivelles,50.5965716,4.3259497
